t=2025-09-21T02:32:42-0400 lvl=info msg="no configuration paths supplied"
t=2025-09-21T02:32:42-0400 lvl=warn msg="ngrok config file found at legacy location, move to XDG location" xdg_path="/Users/prajit/Library/Application Support/ngrok/ngrok.yml" legacy_path=/Users/prajit/.ngrok2/ngrok.yml
t=2025-09-21T02:32:42-0400 lvl=info msg="using configuration at default config path" path=/Users/prajit/.ngrok2/ngrok.yml
t=2025-09-21T02:32:42-0400 lvl=info msg="open config file" path=/Users/prajit/.ngrok2/ngrok.yml err=nil
t=2025-09-21T02:34:02-0400 lvl=info msg="join connections" obj=join id=bf97ca201df6 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:03-0400 lvl=info msg="join connections" obj=join id=7920cee1db72 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:05-0400 lvl=info msg="join connections" obj=join id=5e5cd1a0bc73 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:07-0400 lvl=info msg="join connections" obj=join id=0f73dc39d94e l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:08-0400 lvl=info msg="join connections" obj=join id=8a7e9457cb78 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:08-0400 lvl=info msg="join connections" obj=join id=b64e80b21688 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:11-0400 lvl=info msg="join connections" obj=join id=eec3601a8fc3 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:12-0400 lvl=info msg="join connections" obj=join id=71bda80072e4 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:12-0400 lvl=info msg="join connections" obj=join id=eef874989719 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:13-0400 lvl=info msg="join connections" obj=join id=2318c3973378 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:13-0400 lvl=info msg="join connections" obj=join id=5dfe7c0a1eba l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:14-0400 lvl=info msg="join connections" obj=join id=8e707631e4a9 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:15-0400 lvl=info msg="join connections" obj=join id=f3aafb87c674 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:15-0400 lvl=info msg="join connections" obj=join id=03159433a335 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:16-0400 lvl=info msg="join connections" obj=join id=807465c324bc l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:16-0400 lvl=info msg="join connections" obj=join id=72ff603709d5 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:17-0400 lvl=info msg="join connections" obj=join id=1ee08e3f16ec l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:17-0400 lvl=info msg="join connections" obj=join id=42a2f67bdc16 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:21-0400 lvl=info msg="join connections" obj=join id=d431a74ac1e8 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:21-0400 lvl=info msg="join connections" obj=join id=1b38e31b4967 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:22-0400 lvl=info msg="join connections" obj=join id=538ad35c9956 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:22-0400 lvl=info msg="join connections" obj=join id=afddf1504148 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:23-0400 lvl=info msg="join connections" obj=join id=499961a58daa l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:23-0400 lvl=info msg="join connections" obj=join id=93a9bf16d074 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:24-0400 lvl=info msg="join connections" obj=join id=02c71397d13c l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:25-0400 lvl=info msg="join connections" obj=join id=323f93d3c079 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:25-0400 lvl=info msg="join connections" obj=join id=6db5a361c3ec l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:27-0400 lvl=info msg="join connections" obj=join id=81837a10de4f l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:27-0400 lvl=info msg="join connections" obj=join id=8e945f4cc92c l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:28-0400 lvl=info msg="join connections" obj=join id=5bd30876fdc0 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:34:29-0400 lvl=info msg="join connections" obj=join id=b27be7df707d l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
